2018-09-01 13:38:02,970 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-01 13:38:02,972 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-09-01 13:38:02,973 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-01 13:38:11,047 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring:zip:0.RELEASE-dist:5.0.0.RELEASE is missing, no dependency information available
2018-09-01 13:38:11,064 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-09-01 13:38:11,064 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-01 13:38:11,066 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-09-01 13:38:11,066 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-01 13:38:20,326 [Worker-39] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-09-01 13:38:21,275 [Worker-39] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cc.yonyou:springMavenDemo:0.0.1-SNAPSHOT @ D:\spring\workspace\springMavenDemo\pom.xml.
2018-09-01 13:38:21,278 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring:zip:0.RELEASE-dist:5.0.0.RELEASE is missing, no dependency information available
2018-09-01 13:38:21,511 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /springMavenDemo/src/main/java
2018-09-01 13:38:21,511 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /springMavenDemo/src/main/resources
2018-09-01 13:38:21,533 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /springMavenDemo/src/test/java
2018-09-01 13:38:21,533 [Worker-39] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /springMavenDemo/src/test/resources
2018-09-01 13:38:21,672 [Worker-39] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2018-09-01 13:38:21,787 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring:zip:0.RELEASE-dist:5.0.0.RELEASE is missing, no dependency information available
2018-09-01 13:38:21,810 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-09-01 13:38:21,810 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-01 13:38:21,813 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-09-01 13:38:21,813 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-01 13:38:36,511 [Worker-33] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cc.yonyou:springMavenDemo:0.0.1-SNAPSHOT @ D:\spring\workspace\springMavenDemo\pom.xml.
2018-09-01 13:38:37,955 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring/5.1.2.RELEASE/spring-5.1.2.RELEASE.pom
2018-09-01 13:38:37,962 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring:zip:0.RELEASE-dist:5.1.2.RELEASE is missing, no dependency information available
2018-09-01 13:38:39,102 [Worker-33] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring/5.1.2.RELEASE/spring-5.1.2.RELEASE-0.RELEASE-dist.zip
2018-09-01 13:38:39,445 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-09-01 13:38:39,446 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-01 13:38:39,449 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-09-01 13:38:39,449 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-01 13:39:14,956 [Worker-34] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.cc.yonyou:springMavenDemo:0.0.1-SNAPSHOT @ D:\spring\workspace\springMavenDemo\pom.xml.
2018-09-01 13:39:15,437 [Worker-39] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring/4.3.2.RELEASE/spring-4.3.2.RELEASE.pom
2018-09-01 13:39:15,445 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring:zip:0.RELEASE-dist:4.3.2.RELEASE is missing, no dependency information available
2018-09-01 13:39:15,926 [Worker-34] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring/4.3.2.RELEASE/spring-4.3.2.RELEASE.pom
2018-09-01 13:39:15,932 [Worker-34] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.springframework:spring:zip:0.RELEASE-dist:4.3.2.RELEASE is missing, no dependency information available
2018-09-01 13:39:16,557 [Worker-39] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring/4.3.2.RELEASE/spring-4.3.2.RELEASE-0.RELEASE-dist.zip
2018-09-01 13:39:16,962 [Worker-34] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring/4.3.2.RELEASE/spring-4.3.2.RELEASE-0.RELEASE-dist.zip
2018-09-01 13:39:17,137 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-09-01 13:39:17,138 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-09-01 13:39:17,140 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2018-09-01 13:39:17,140 [Worker-34] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
